Week Ending Date,Metric,Category,Waiting Bands,Count
2021-11-07T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,178820
2021-11-07T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,26010
2021-11-07T00:00:00.000Z,Age,0-18 Years,Total,601435
2021-11-07T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,5200
2021-11-07T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1856910
2021-11-07T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,957890
2021-11-07T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,174420
2021-11-07T00:00:00.000Z,Age,19-64 Years,Total,2994425
2021-11-07T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,3510
2021-11-07T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1178280
2021-11-07T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,514950
2021-11-07T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,94180
2021-11-07T00:00:00.000Z,Age,Over 65 Years,Total,1790920
2021-11-07T00:00:00.000Z,Sex,Female,Unknown Clock Start,5350
2021-11-07T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1897845
2021-11-07T00:00:00.000Z,Sex,Female,18 To 52 Weeks,903735
2021-11-07T00:00:00.000Z,Sex,Female,Over 52 Weeks,155290
2021-11-07T00:00:00.000Z,Sex,Female,Total,2962220
2021-11-07T00:00:00.000Z,Sex,Male,Unknown Clock Start,4325
2021-11-07T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1455255
2021-11-07T00:00:00.000Z,Sex,Male,18 To 52 Weeks,691105
2021-11-07T00:00:00.000Z,Sex,Male,Over 52 Weeks,130950
2021-11-07T00:00:00.000Z,Sex,Male,Total,2281640
2021-11-14T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,1150
2021-11-14T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,404105
2021-11-14T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,185905
2021-11-14T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,26920
2021-11-14T00:00:00.000Z,Age,0-18 Years,Total,618080
2021-11-14T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,5810
2021-11-14T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1891755
2021-11-14T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,986500
2021-11-14T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,178840
2021-11-14T00:00:00.000Z,Age,19-64 Years,Total,3062905
2021-11-14T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,3505
2021-11-14T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1196830
2021-11-14T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,530625
2021-11-14T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,95655
2021-11-14T00:00:00.000Z,Age,Over 65 Years,Total,1826615
2021-11-14T00:00:00.000Z,Sex,Female,Unknown Clock Start,5755
2021-11-14T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1932505
